IntID#,REF,Journal,Group,Class,Order,Genus,species,Light,Light2,Temp,Salinity,Nutrient,Container,Treat1,Treat2,Media,Data,sumSAFA,sumMUFA,sumPUFA,c18.2w6,c18.3w6,c18.3w3,c18.4w3,c18.5w3,c20.4w6,c20.5w3,c22.6w3
19,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoria,agardhii,75,24,20,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,45.2887538,26.82370821,27.88753799,6.808510638,0,19.60486322,0,0,0,0,0
20,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystis,aeruginosa,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,51.67902311,10.20497165,38.11600523,4.055822067,6.384648932,8.364587876,15.19843,0,0,0,0
21,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystis,aeruginosa,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,50.9925011,8.689898544,40.31760035,8.297309219,6.718129687,8.698720776,14.296427,0,0,0,0
22,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystis,aeruginosa,75,24,20,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,73.38957055,11.42638037,15.18404908,4.386503067,0,7.147239264,1.418711656,0,0,0.759202454,0
23,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Nostocales,Anabaena,sp,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,65.59065934,20.12362637,14.28571429,8.612637363,3.413461538,1.394230769,0,0,0,0.40521978,0
24,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Chroococcales,Spirulina,sp,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,47.79530093,10.49243643,41.71226263,11.6350177,29.77792082,0,0,0,0,0,0
25,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Chroococcales,Spirulina,sp,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,44.59247649,16.92789969,38.47962382,14.07131661,23.93808777,0,0,0,0,0,0
26,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Chroococcales,Spirulina,sp,75,24,20,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,58.36112434,11.81515007,29.82372558,6.598380181,23.07765603,0,0,0,0,0,0
27,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc,muscorum,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,29.84244671,46.8952734,23.26227989,20.79703429,0,2.075996293,0,0,0,0,0
28,Ahlgren1992,Jphyc,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonas,sp,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,42.53990285,11.65857044,45.80152672,12.74670368,0.316446912,29.59750173,3.143650243,0,0,0,0
29,Ahlgren1992,Jphyc,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorella,homosphaera,75,24,20,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,47.03776624,9.235725792,43.72650796,19.20529801,0,24.20261321,0.193305889,0,0,0.130660462,0
30,Ahlgren1992,Jphyc,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,quadricauda,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,33.46198379,14.06792744,52.47008877,7.294480895,0.926283288,41.34890004,2.896565033,0,0,0,0
31,Ahlgren1992,Jphyc,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,quadricauda,75,24,20,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,33.66017128,21.26101527,45.07881345,15.47598362,1.522899342,24.58235075,3.181084771,0,0,0,0
32,Ahlgren1992,Jphyc,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,acutus,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,33.69528901,21.23287671,45.07183428,9.914801203,0.654861343,31.63548279,2.372201804,0,0,0,0
33,Ahlgren1992,Jphyc,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,acutus,75,24,20,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,30.38812377,45.03666607,24.57521016,7.593453765,0.412269719,13.31783223,3.19173672,0,0,0.060812019,0
34,Ahlgren1992,Jphyc,Ochrophyta,Chrysophyceae,Chromulinales,Chromulina,chinophila,75,24,20,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,50.53485799,13.16857248,36.29656953,6.521578753,2.766506824,4.253043158,13.57985983,0,0,0,4.127628181
35,Ahlgren1992,Jphyc,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,sp,75,14,15,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,38.79003559,9.746935548,51.46302887,3.003163306,0,8.8533017,17.43574535,0,0,12.78173191,4.52155002
36,Ahlgren1992,Jphyc,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,lacustris,75,14,15,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,25.26240458,4.735209924,70.0023855,0.985209924,0,21.86545802,24.06727099,0,0,15.7168416,4.534828244
37,Ahlgren1992,Jphyc,Dinophyta,Dinophyceae,Peridinales,Peridinium,cinctum,75,14,20,0,Limited,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,39.90749917,33.09382227,26.99867856,0.516187645,0.113974232,0.25024777,5.597951767,0,0,8.453088867,11.94169144
38,Ahlgren1992,Jphyc,Dinophyta,Dinophyceae,Thoracosphaerales,Peridiniopsis,borgei,75,14,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,45.83202265,20.69833281,33.46964454,1.220509594,0,0,4.973262032,0,0.2107581,11.20478138,15.86662472
39,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmus,sp,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,19.08805031,26.26834382,54.64360587,16.87631027,0,20.5870021,4.098532495,0,0,0,0
40,Taipale2013,AME,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonas,reinhardtii,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,14.38,19.28,66.34,0.9,0,42.91,0,0,0,0,0
41,Taipale2013,AME,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonas,sp,27,16,20,0,Replete,0.5L-Flask,,,DY-V,prop,20.77233378,24.14815766,55.07950856,3.051281047,0,37.76261565,0,0,0,0,0
42,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Pediastrum,privum,27,16,20,0,Replete,0.5L-Flask,,,DY-V,prop,38.6973249,4.76,56.64,8.35,0,29.17,10.98,0,0,0,0
43,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastrum,sp,27,16,20,0,Replete,0.5L-Flask,,,WC,prop,22.52874367,44.63743181,32.50408687,4.164946819,0,15.50679085,4.074890756,0,0,0,0
44,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastrum,capricornutum,27,14,18,0,Replete,0.5L-Flask,,,MBL,prop,34.16,35.37,30.47,8.15,0,11.86,2.48,0,0,0,0
45,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastrum,capricornutum,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,21.52,44.94,33.54,4.33,0,12.05,5.88,0,0,0,0
46,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,communis,27,16,20,0,Replete,0.5L-Flask,,,DY-V,prop,35.2,11.81,53,5.9,1.02,27.46,8.03,0,0,0,0
47,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,obliquus,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,16.6873328,5.562285453,77.62918331,13.31163895,1.326881971,46.27983358,3.212268691,0,0,0,0
48,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmus,ecornis,27,16,20,0,Replete,0.5L-Flask,,,WC,prop,23.47595453,8.840080532,67.68396494,3.74395108,0,38.82835401,9.630509764,0,0,0,0
49,Taipale2013,AME,Chlorophyta,Chlorophyceae,Sphaeropleales,Coenocystis,sp,27,16,20,0,Replete,0.5L-Flask,,,DY-V,prop,40.96680594,5.127357476,53.90583658,6.770198173,6.312107806,21.6294439,6.44793733,0,0,0,0
50,Taipale2013,AME,Euglenozoa,Euglenophyceae,Euglenales,Euglena,gracilis,27,16,20,0,Replete,0.5L-Flask,,,EuglenaGracilisMed,prop,25.86819114,7.33670211,56.89480689,1.970497277,0,9.393157441,0,0,4.007450224,12.21945555,6.636583861
51,Taipale2013,AME,Euglenozoa,Euglenophyceae,Euglenales,Euglena,sp,27,16,20,0,Replete,0.5L-Flask,,,AF6,prop,21.76012283,6.542285634,64.19271058,3.68552363,0,12.06626943,0,0,9.629666599,11.38445304,7.401574386
52,Taipale2013,AME,Euglenozoa,Euglenophyceae,Euglenales,Euglena,sp,27,16,20,0,Replete,0.5L-Flask,,,AF6,prop,17.42,5.78,72.62,12.93,0,12.68,0,0,1.71,7.39,12.1
53,Taipale2013,AME,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryon,cylindricum,27,14,18,0,Replete,0.5L-Flask,,,Volvox,prop,28.07178706,27.87183646,44.05637647,10.52908485,0,7.098797318,8.609997652,0,0,0,2.009477842
54,Taipale2013,AME,Ochrophyta,Chrysophyceae,Synurales,Mallomonas,caudata,27,16,20,0,Replete,0.5L-Flask,,,WC,prop,28.2684897,11.81670044,59.91480987,7.209661111,0,8.452336852,10.4610026,0,5.77203308,7.120373035,10.8731674
55,Taipale2013,AME,Ochrophyta,Chrysophyceae,Synurales,Synura,sp,27,16,20,0,Replete,0.5L-Flask,,,WC,prop,28.37,3.77,65.95,6.81,1.64,13.38,20.69,0,1.41,1.7,4.97
56,Taipale2013,AME,Ochrophyta,Raphidophyceae,Chattonellales,Gonyostomum,semen,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,28.38130741,2.969317302,56.33212356,0.902724871,0,10.01811053,10.13010694,0.664731829,3.483339764,17.59122098,1.127953787
57,Taipale2013,AME,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,sp,27,16,20,0,Replete,0.5L-Flask,,,AF6,prop,13.7004081,4.376316491,76.99943616,0,0,19.72592267,30.6995955,0,0,17.12449194,2.877554059
58,Taipale2013,AME,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,marssonii,27,16,20,0,Replete,0.5L-Flask,,,DY-V,prop,17.79856263,11.67,68.83,5.05,0,29.47,12.11,0,0,8.21,8.36
59,Taipale2013,AME,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,erosa,27,16,20,0,Replete,0.5L-Flask,,,MBL,prop,25.97,12.01,62.01,2.12,0,15.5,23.69,0,0,13.86,1.42
60,Taipale2013,AME,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,pyrenoidifera,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,36.14153665,6.11228434,57.74617901,9.727476908,0,31.01797953,7.398100254,0,0,6.037744288,0.740741776
61,Taipale2013,AME,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,obovoidea,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,42.41794765,7.378479435,50.20357291,7.83547985,0,28.1346074,6.32322393,0,0,4.968840881,0.689655172
62,Taipale2013,AME,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,ozolinii,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,11.51,10.74,77.74,3.33,0,23.64,32.7,0,0,11.19,2.51
63,Taipale2013,AME,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonas,ovata,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,39.28,6.74,53.97,8.78,0,29.58,6.86,0,0,5.5,0.72
64,Taipale2013,AME,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,minuta,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,28.99,9.91,61.1,0.94,0,12.51,24.12,0,0,12.69,4.53
65,Taipale2013,AME,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,lacustris,27,14,18,0,Replete,0.5L-Flask,,,L16,prop,33.13257316,14.29729063,50.57357626,0,0,23.6513144,11.42627668,1.044183958,0,8.262691697,3.734251872
66,Taipale2013,AME,Chlorophyta,Chlorophyceae,Chlamydomonadales,Choricystis,sp,27,16,20,0,Replete,0.5L-Flask,,,DY-V,prop,31.02840874,23.89448467,45.07710659,3.771757347,0,24.65360901,6.630918943,0,0,0,0
67,Taipale2013,AME,Chlorophyta,Chlorophyceae,Chlamydomonadales,Choricystis,coccoids,27,14,18,0,Replete,0.5L-Flask,,,WC,prop,17.04,17.05,66.02,18.34,0,29.2,0,0,0,0,0
68,Taipale2013,AME,Chlorophyta,Trebouxiophyceae,Prasiolales,Stichococcus,chodati,27,14,18,0,Replete,0.5L-Flask,,,WC,prop,20.31,14.89,64.79,16.18,0,26.59,0,0,0,0,0
69,Taipale2013,AME,Ochrophyta,Fragilariophyceae,Fragilariales,Fragilaria,crotonensis,27,14,18,0,Replete,0.5L-Flask,,,DiatomMediumBeakes1986,prop,28.84487266,44.20162725,26.95350009,0.460286678,0.84388739,0,0,0,1.604213069,14.12817807,0.892468867
70,Taipale2013,AME,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Cyclotella,meneghiniana,27,14,18,0,Replete,0.5L-Flask,,,DiatomMediumBeakes1986,prop,28.27235933,30.06179703,41.66584364,0.225035941,0,0,0.233077658,0,0,23.08833087,2.323571924
71,Taipale2013,AME,Ochrophyta,Fragilariophyceae,Fragilariales,Asterionella,formosa,27,14,18,0,Replete,0.5L-Flask,,,DiatomMediumBeakes1986,prop,28.55861599,37.13171214,34.30967187,0.34266131,0.421943695,0,0.116538829,0,0.802106535,18.60825447,1.608020395
72,Taipale2013,AME,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscus,hantzschii,27,14,18,0,Replete,0.5L-Flask,,,DiatomMediumBeakes1986,prop,37.90628173,33.81486522,28.27885305,1.745472959,0.20062742,0.481584312,2.665281959,0,0,9.879115549,1.146151502
73,Taipale2013,AME,Ochrophyta,Fragilariophyceae,Fragilariales,Synedra,sp,27,14,18,0,Replete,0.5L-Flask,,,DiatomMediumBeakes1986,prop,31.30347105,36.22528419,32.47124475,1.597829299,0,0,0,0,1.76055356,11.01292807,1.49770898
74,Taipale2013,AME,Ochrophyta,Bacillariophyceae,Naviculales,Navicula,pellicosa,27,14,18,0,Replete,0.5L-Flask,,,DiatomMediumBeakes1986,prop,34.33713653,35.0514462,30.61141727,5.503421543,0,0,0,0,8.4988021,6.914472487,0
75,Taipale2013,AME,Ochrophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseira,granulata var. angustissima,27,14,18,0,Replete,0.5L-Flask,,,DiatomMediumBeakes1986,prop,33.52796472,48.74534521,17.72669007,1.285753963,0,0,0.522815771,0,0,8.946167875,0.759437996
76,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,sp,85,12,20,32,Replete,2L-Flask,,,fE,prop,15.8,10.8,72.2,5.3,0.6,29.9,20.9,0,0.6,7.6,6.7
77,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Proteomonas,sp,85,12,15,32,Replete,2L-Flask,,,fE,prop,14.9,6.8,77.8,0.5,0.2,22,30,0,0.2,12.3,10.8
78,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Proteomonas,sulcata,85,12,25,32,Replete,2L-Flask,,,fE,prop,15.2,6.2,77.6,2.9,0.5,29.3,20.6,0,0.6,12.6,7.8
79,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,salina,85,12,20,32,Replete,2L-Flask,,,fE,prop,16.25,6.75,76.35,14.35,2.35,21.45,18.8,0,2.5,9.2,6.45
80,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,salina,85,12,20,32,Replete,2L-Flask,,,fE,prop,13.5,10.3,74.9,1.4,0.3,20.7,30.2,0,0.2,13.2,7.8
81,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,salina,85,12,20,32,Replete,2L-Flask,,,fE,prop,16.1,14.2,66.4,0.6,0.2,19.4,22.7,0,0,12.2,7.1
82,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,maculata,85,12,20,32,Replete,2L-Flask,,,fE,prop,18.4,8.4,71.9,2.1,0.2,26.6,27.5,0,0.2,7.7,6.4
83,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Rhodomonas,maculata,85,12,20,32,Replete,2L-Flask,,,fE,prop,22.3,18,56.7,1.8,0.5,29.9,10.7,0,0,5.4,4.1
84,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Chroomonas,placoidea,85,12,20,32,Replete,2L-Flask,,,fE,prop,18.7,13.6,66.4,9.3,0.4,27.2,12.5,0,0.3,11,0.2
85,Dunstan2005,PhytoChem,Cryptophyta,Cryptophyceae,Pyrenomonadales,Chroomonas,placoidea,85,12,20,32,Replete,2L-Flask,,,fE,prop,16.5,17.3,64.7,9.5,0.5,19.4,15.2,0,0.3,12.4,0.4
86,Dunstan2005,PhytoChem,Rhodophyta,Stylonematophyceae,Stylonematales,Rhodosorus,sp,85,12,20,32,Replete,2L-Flask,,,fE,prop,28.3,12.4,58.9,5.7,0.5,26.5,0.8,0,3.7,20.7,0
87,Dunstan1994,PhytoChem,Ochrophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscus,sp,100,12,20,32,Replete,1L-Flask,,,f/2,prop,28,21,51,1.6,0.8,0.6,3.5,0,1.1,26,4.6
88,Dunstan1994,PhytoChem,Ochrophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosolenia,setigera,100,12,20,32,Replete,1L-Flask,,,f/2,prop,36.6,27.2,36.2,1.9,0.5,0.6,1.7,0,1,17.5,6.1
89,Dunstan1994,PhytoChem,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonema,costatum,100,12,20,32,Replete,1L-Flask,,,f/2,prop,17.5,20.6,62,1.4,0,0.8,2.8,0,0,26.1,4.7
90,Dunstan1994,PhytoChem,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonema,sp,100,12,25,32,Replete,1L-Flask,,,f/2,prop,24.5,23.9,51.6,0.5,0.2,0.4,1,0,0,18.3,4.2
91,Dunstan1994,PhytoChem,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosira,stellaris,100,12,20,32,Replete,1L-Flask,,,G,prop,20.3,21.9,57.8,0.5,0.3,0.2,5.2,0,0.1,25.3,4.8
92,Dunstan1994,PhytoChem,Ochrophyta,Bacillariophyceae,Naviculales,Amphiprora,hyalina,100,12,20,32,Replete,1L-Flask,,,f/2,prop,19.2,25,55.8,1.4,0.3,0.5,5.5,0,0.8,30,1.9
93,Dunstan1994,PhytoChem,Ochrophyta,Bacillariophyceae,Thalassiophysales,Amphora,sp,100,12,20,32,Replete,1L-Flask,,,f/2,prop,21.9,16.4,61.7,0.8,0.2,0.2,0.9,0,0.5,30.2,0.7
94,Dunstan1994,PhytoChem,Ochrophyta,Bacillariophyceae,Bacillariales,Cylindrotheca,fusiformis,100,12,20,32,Replete,1L-Flask,,,f/2,prop,30.1,21.4,48.5,1.5,2.8,0.1,2,0,4.9,20.3,1.1
95,Dunstan1994,PhytoChem,Ochrophyta,Fragilariophyceae,Fragilariales,Fragilaria,pinnata,100,12,25,32,Replete,1L-Flask,,,f/2,prop,28.2,31.6,40.2,0.8,0.4,0.1,1.1,0,5.6,20.7,0
96,Dunstan1994,PhytoChem,Ochrophyta,Bacillariophyceae,Naviculales,Haslea,ostrearia,100,12,20,32,Replete,1L-Flask,,,f/2,prop,33.2,31.7,35.1,0.5,0.7,1,0.9,0,0.2,12.2,3.3
97,Dunstan1994,PhytoChem,Ochrophyta,Bacillariophyceae,Naviculales,Navicula,sp,100,12,20,32,Replete,1L-Flask,,,f/2,prop,27.2,37,35.8,2.9,0.7,0.2,0.9,0,0.5,21,2.6
98,Dunstan1994,PhytoChem,Ochrophyta,Bacillariophyceae,Bacillariales,Nitzschia,closterium,100,12,20,32,Replete,1L-Flask,,,f/2,prop,15.9,24.4,58.7,0.5,0.5,0,3.5,0,4,24.2,2.4
99,Dunstan1994,PhytoChem,Ochrophyta,Fragilariophyceae,Thalassionematales,Thalassionema,nitzchioides,100,12,28,32,Replete,0.25L-Flask,,,f/2,prop,30.9,20.3,48.8,0.6,0.7,0.1,0.1,0,3.5,25.2,1
100,Dunstan1994,PhytoChem,Ochrophyta,Fragilariophyceae,Thalassionematales,Thalassiothrix,heteromorpha,100,12,20,32,Replete,0.25L-Flask,,,f/2,prop,32.7,23.7,43.6,1.4,0.7,0.1,0.6,0,2.2,12.9,1.6
101,Renaud1999,Aquaculture,Ochrophyta,Bacillariophyceae,Thalassiophysales,Amphora,coffeaformis,80,12,25,25,Replete,1.5L-Flask,Benthic,,f/2,prop,31,29,37,3.4,2.7,0.6,2.4,0,4.9,13.9,0.3
102,Renaud1999,Aquaculture,Ochrophyta,Coscinodiscophyceae,Chaetocerotales,Chaetoceros,sp,80,12,25,25,Replete,1.5L-Flask,Pelagic,,f/2,prop,25.8,23.3,47.2,1,1.3,0.4,1.1,0,3,16.7,0.8
103,Renaud1999,Aquaculture,Ochrophyta,Fragilariophyceae,Fragilariales,Fragilaria,pinnata,80,12,25,25,Replete,1.5L-Flask,Pelagic,,f/2,prop,36.1,28.2,32,1.4,1.1,1,1.9,0,8.7,6.8,1
104,Renaud1999,Aquaculture,Ochrophyta,Bacillariophyceae,Bacillariales,Nitzschia,sp,80,12,25,25,Replete,1.5L-Flask,Pelagic,,f/2,prop,32,36.3,29.5,0.6,0.5,0.1,0.4,0,8,8.4,0.3
105,Renaud1999,Aquaculture,Ochrophyta,Bacillariophyceae,Bacillariales,Nitzschia,frustulum,80,12,25,25,Replete,1.5L-Flask,Benthic,,f/2,prop,31,41.4,26.1,0.8,0.6,0.2,0.5,0,6.7,5,0.3
