type;Arenicola_marina;Capitella_capitata;Corophium_bonelli;Crangon_crangon;Chironomidae_(larvae);Eteone_longa;Epheria_vincta;Fabricia_sabella;Gammarus_sp.;Halicryptus_spinulosus;Hydrobia_ulvae_adult+spat;Hydrobia_ulvae_adult;Hydrobia_ulvae_spat;Jaera_sp.;Littorina_saxatilis;Macoma_balthica_ault+juv;Macoma_balthica_ault;Macoma_balthica_juv;Microspio_theeli;Monoculodes_sp.;Mya_arenaria;Mytilus_edulis_adult;Mytilus_edulis_(спат);Nemertini;Oligochaeta;Phyllodoce_groenlandica;Polydora_quadrilobata;Pseudolibrotus_litoralis;Pygospio_elegans;Scoloplos_armiger;Skeneopsis_planorbis;Tubificoides_benedeni;Turbellaria;Fucus_vesiculosus;Filamentous_algae
D;0;0;0;0;30;0;0;0;0;0;404;339;65;0;7;32;28;4;0;3;0;25;16;4;0;0;0;0;5;15;0;9;0;0;0.169
D;1;0;0;0;31;0;0;0;1;0;238;160;78;0;4;26;22;4;0;1;1;31;4;6;0;0;0;0;0;7;0;1;0;0;0.163
D;0;4;0;0;5;0;0;1;0;0;333;182;151;0;7;41;29;12;0;0;2;20;6;1;0;0;1;0;2;6;0;2;0;0;0.029
D;0;0;0;0;1;0;0;0;0;0;452;375;77;0;2;24;24;0;0;1;0;11;1;7;0;0;0;0;0;7;0;3;0;0;0.08
D;0;1;0;0;0;0;0;0;0;0;265;236;29;0;3;25;19;6;0;0;0;15;5;0;0;0;0;0;1;1;0;3;0;0.13;0.245
D;0;0;0;0;5;0;0;0;0;0;134;105;29;0;0;21;21;0;2;0;0;7;0;1;0;0;1;0;0;2;0;2;0;0;0.066
D;0;7;0;0;1;0;0;1;0;0;121;97;24;0;2;26;24;2;2;0;0;24;0;0;0;0;0;0;1;2;0;6;0;0;0.004
D;0;0;0;0;10;0;0;1;0;0;380;257;123;0;3;16;15;1;0;4;0;21;9;1;0;0;0;0;0;5;0;5;0;0;0.085
Z;0;0;0;0;13;0;0;0;0;0;181;126;55;0;1;13;10;3;0;1;0;18;7;0;0;0;0;0;2;4;0;7;0;0;0.224
Z;0;1;0;0;0;0;0;0;0;0;266;210;56;0;0;12;12;0;0;1;0;7;1;1;1;0;0;0;0;11;0;2;0;0.005;0.02
Z;0;1;0;0;2;0;0;0;0;0;210;180;30;0;2;27;21;6;0;0;0;10;1;0;0;0;0;0;1;5;0;6;0;0;0
Z;0;0;0;0;16;0;1;2;0;0;398;300;98;0;6;38;33;5;1;3;2;17;0;2;0;0;0;0;3;9;0;3;0;0;0.266
Z;0;1;0;0;11;0;1;0;0;0;447;348;99;1;1;20;19;1;1;6;0;25;4;1;0;0;0;0;0;6;0;2;0;0.148;0.044
Z;0;1;0;0;2;0;0;2;0;0;828;427;401;0;4;57;18;39;0;0;2;11;0;1;0;0;0;1;0;3;0;9;0;0;0.012
Z;0;2;0;0;7;0;1;0;0;0;314;273;41;0;3;12;11;1;0;0;0;16;2;1;0;0;0;0;2;0;0;2;0;0;0.236
Z;0;3;0;0;85;1;0;2;1;0;307;156;151;0;2;24;21;3;1;1;1;55;50;1;0;0;0;0;2;9;0;19;0;0;1.262
Z;0;0;0;0;16;0;1;0;0;0;220;175;45;0;3;40;35;5;2;1;0;29;0;0;0;0;0;0;1;2;0;7;0;0;0.041
Z;0;0;1;0;28;0;0;2;1;0;193;124;69;0;1;16;14;2;1;0;0;29;2;0;0;0;0;0;3;4;0;6;0;0;0.16
E;0;0;0;0;6;0;1;0;0;0;556;265;291;0;3;101;12;89;2;1;0;1;7;0;0;0;0;0;1;2;0;7;0;0;0.039
E;0;0;0;0;1;0;0;3;0;0;313;191;122;0;0;43;22;21;1;1;1;1;0;1;0;0;0;0;7;11;0;3;0;0;0.001
E;0;1;0;0;0;0;0;0;0;0;416;188;228;0;0;31;22;9;0;0;0;1;0;1;0;0;0;0;4;2;0;14;0;0;0.001
E;0;0;0;0;0;0;0;0;0;0;239;193;46;0;0;23;23;0;0;1;0;0;0;0;0;0;0;0;3;10;0;0;0;0;0
E;0;1;0;1;0;0;0;4;0;0;302;248;54;0;0;36;31;5;2;4;0;1;1;0;0;0;0;1;2;16;0;3;0;0;0.038
E;0;2;0;0;0;0;0;0;0;0;382;337;45;0;1;58;57;1;0;1;0;2;0;1;0;0;0;0;2;17;0;10;0;0;0
E;0;0;0;0;0;0;0;1;0;0;89;74;15;0;0;14;13;1;5;0;0;0;1;1;0;0;0;0;4;2;0;11;0;0;0
E;0;2;0;0;0;0;0;2;0;0;124;88;36;0;0;57;53;4;1;2;0;2;0;1;0;0;0;0;0;13;0;5;0;0;0
E;0;2;0;0;0;0;0;3;0;0;293;208;85;0;0;24;24;0;1;3;0;0;0;1;0;0;0;0;3;3;0;2;0;0;0
E;0;1;0;0;3;0;0;6;0;0;336;218;118;0;2;29;21;8;3;1;0;0;0;1;0;1;1;0;3;21;0;4;0;0;0.001
